Metric,Result
Accuracy,0.572980039217658
Precision,0.10307114449845338
Recall,0.7138485080336648
F1-score,0.18013321749203592
ROC-AUC,0.6661469372051521
CV Mean F1,0.1714855391168048
CV Std F1,0.004652441484007113
