total_price,total_freight,total_items,unique_products,unique_sellers,order_month,order_day_of_week,order_hour,average_item_price,freight_ratio,items_per_seller,seller_diversity,is_weekend,is_business_hour,is_year_end,month_sin,month_cos,hour_sin,hour_cos,log_total_price,log_total_freight,items_x_price,is_late_delivery
29.99,8.72,1.0,1.0,1.0,10,0,10,29.99,0.2907635878626209,1.0,1.0,0,1,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,3.433664571799657,2.2741856184723477,29.99,0
118.7,22.76,1.0,1.0,1.0,7,1,20,118.7,0.19174389216512217,1.0,1.0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,4.784988612563928,3.168003494494444,118.7,0
159.9,19.22,1.0,1.0,1.0,8,2,8,159.9,0.12020012507817385,1.0,1.0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,5.080783053998338,3.006672213592325,159.9,0
45.0,27.2,1.0,1.0,1.0,11,5,19,45.0,0.6044444444444445,1.0,1.0,1,0,1,-0.5000000000000004,0.8660254037844384,-0.9659258262890684,0.2588190451025203,3.828641396489095,3.339321977944068,45.0,0
19.9,8.72,1.0,1.0,1.0,2,1,21,19.9,0.43819095477386943,1.0,1.0,0,0,0,0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474,3.039749158970765,2.2741856184723477,19.9,0
147.9,27.36,1.0,1.0,1.0,7,6,21,147.9,0.18498985801217038,1.0,1.0,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.7071067811865477,0.7071067811865474,5.003274939689963,3.344979701663927,147.9,0
49.9,16.05,1.0,1.0,1.0,4,1,12,49.9,0.32164328657314634,1.0,1.0,0,1,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,3.929862923556477,2.8361502037295256,49.9,0
59.99,15.17,1.0,1.0,1.0,5,1,13,59.99,0.2528754792465411,1.0,1.0,0,1,0,0.49999999999999994,-0.8660254037844387,-0.2588190451025208,-0.9659258262890683,4.110709916308365,2.783157673589016,59.99,0
19.9,16.05,1.0,1.0,1.0,1,0,18,19.9,0.806532663316583,1.0,1.0,0,1,0,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16,3.039749158970765,2.8361502037295256,19.9,0
149.99,19.77,1.0,1.0,1.0,7,5,11,149.99,0.1318087872524835,1.0,1.0,1,1,0,-0.4999999999999997,-0.8660254037844388,0.258819045102521,-0.9659258262890682,5.017213609456379,3.033509637888021,149.99,0
198.0,61.06,2.0,1.0,1.0,5,1,19,99.0,0.30838383838383837,2.0,0.5,0,0,0,0.49999999999999994,-0.8660254037844387,-0.9659258262890684,0.2588190451025203,5.293304824724492,4.128101659020234,396.0,0
98.0,16.13,1.0,1.0,1.0,7,3,19,98.0,0.16459183673469388,1.0,1.0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9659258262890684,0.2588190451025203,4.59511985013459,2.8408313123360287,98.0,0
31.9,18.23,1.0,1.0,1.0,6,3,10,31.9,0.571473354231975,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,3.493472657771326,2.9564715596006885,31.9,0
19.9,12.8,1.0,1.0,1.0,7,2,17,19.9,0.6432160804020102,1.0,1.0,0,1,0,-0.4999999999999997,-0.8660254037844388,-0.9659258262890683,-0.25881904510252063,3.039749158970765,2.624668592163159,19.9,0
38.25,16.11,1.0,1.0,1.0,3,3,14,38.25,0.42117647058823526,1.0,1.0,0,1,0,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,3.6699514442284173,2.839663087904102,38.25,0
132.4,14.05,1.0,1.0,1.0,6,3,19,132.4,0.1061178247734139,1.0,1.0,0,0,0,1.2246467991473532e-16,-1.0,-0.9659258262890684,0.2588190451025203,4.893352133481524,2.711377991194885,132.4,0
1299.0,77.45,1.0,1.0,1.0,1,1,19,1299.0,0.05962278675904542,1.0,1.0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9659258262890684,0.2588190451025203,7.170119543449628,4.362461479179042,1299.0,0
27.99,15.1,1.0,1.0,1.0,12,1,23,27.99,0.5394783851375491,1.0,1.0,0,0,1,-2.4492935982947064e-16,1.0,-0.25881904510252157,0.9659258262890681,3.3669509429335642,2.7788192719904172,27.99,0
17.9,11.85,1.0,1.0,1.0,11,1,0,17.9,0.6620111731843575,1.0,1.0,0,0,1,-0.5000000000000004,0.8660254037844384,0.0,1.0,2.9391619220655967,2.553343811341229,17.9,0
76.0,16.97,1.0,1.0,1.0,10,3,15,76.0,0.2232894736842105,1.0,1.0,0,1,0,-0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,4.343805421853684,2.8887037007954675,76.0,0
109.9,8.96,1.0,1.0,1.0,9,0,14,109.9,0.08152866242038218,1.0,1.0,0,1,0,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,4.7086288943563215,2.298577071596507,109.9,1
79.99,8.91,1.0,1.0,1.0,3,3,8,79.99,0.11138892361545194,1.0,1.0,0,0,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,4.3943256902608985,2.2935443483418965,79.99,0
9.5,7.78,1.0,1.0,1.0,2,5,20,9.5,0.8189473684210526,1.0,1.0,1,0,0,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,2.3513752571634776,2.1724764076470255,9.5,0
129.99,57.58,1.0,1.0,1.0,1,0,7,129.99,0.44295715055004226,1.0,1.0,0,0,0,0.49999999999999994,0.8660254037844387,0.9659258262890683,-0.25881904510252063,4.875120984409557,4.070393341399587,129.99,0
89.9,14.21,1.0,1.0,1.0,8,3,11,89.9,0.15806451612903225,1.0,1.0,0,1,0,-0.8660254037844385,-0.5000000000000004,0.258819045102521,-0.9659258262890682,4.509760001183433,2.7219531062712017,89.9,0
109.9,15.53,1.0,1.0,1.0,2,1,23,109.9,0.14131028207461327,1.0,1.0,0,0,0,0.8660254037844386,0.5000000000000001,-0.25881904510252157,0.9659258262890681,4.7086288943563215,2.805176911832933,109.9,1
130.4,97.28,2.0,2.0,2.0,6,0,0,65.2,0.7460122699386503,1.0,1.0,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,4.8782461060505105,4.587820547652979,260.8,0
47.9,12.79,1.0,1.0,1.0,3,0,1,47.9,0.2670146137787056,1.0,1.0,0,0,0,1.0,6.123233995736766e-17,0.25881904510252074,0.9659258262890683,3.8897773964808264,2.6239436918052106,47.9,0
178.99,13.69,1.0,1.0,1.0,5,2,11,178.99,0.07648471981674954,1.0,1.0,0,1,0,0.49999999999999994,-0.8660254037844387,0.258819045102521,-0.9659258262890682,5.192901293791388,2.6871669901857858,178.99,0
30.1,33.24,1.0,1.0,1.0,2,6,13,30.1,1.1043189368770765,1.0,1.0,1,1,0,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,3.4372078191851885,3.5333945512735414,30.1,0
279.0,34.19,1.0,1.0,1.0,8,3,11,279.0,0.1225448028673835,1.0,1.0,0,1,0,-0.8660254037844385,-0.5000000000000004,0.258819045102521,-0.9659258262890682,5.634789603169249,3.5607619513334936,279.0,0
186.9,38.0,1.0,1.0,1.0,4,0,21,186.9,0.20331728196896737,1.0,1.0,0,0,0,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474,5.23590990641942,3.6635616461296463,186.9,0
49.0,14.1,1.0,1.0,1.0,12,1,13,49.0,0.28775510204081634,1.0,1.0,0,1,1,-2.4492935982947064e-16,1.0,-0.2588190451025208,-0.9659258262890683,3.912023005428146,2.714694743820879,49.0,0
84.9,15.35,1.0,1.0,1.0,2,5,12,84.9,0.1808009422850412,1.0,1.0,1,1,0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,4.45318382899021,2.7942278973432626,84.9,0
179.0,9.41,1.0,1.0,1.0,7,6,23,179.0,0.05256983240223464,1.0,1.0,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.25881904510252157,0.9659258262890681,5.19295685089021,2.3427668826268775,179.0,0
78.0,28.95,1.0,1.0,1.0,2,5,15,78.0,0.37115384615384617,1.0,1.0,1,1,0,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,4.3694478524670215,3.3995293245614584,78.0,0
39.9,26.89,1.0,1.0,1.0,2,2,18,39.9,0.6739348370927318,1.0,1.0,0,1,0,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,3.711130063048756,3.3282682016393976,39.9,0
27.9,15.1,1.0,1.0,1.0,7,0,21,27.9,0.5412186379928315,1.0,1.0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.7071067811865477,0.7071067811865474,3.3638415951183864,2.7788192719904172,27.9,0
445.0,63.17,1.0,1.0,1.0,6,4,12,445.0,0.14195505617977527,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,6.100318952020064,4.161535811762424,445.0,0
36.9,12.79,1.0,1.0,1.0,3,0,17,36.9,0.34661246612466123,1.0,1.0,0,1,0,1.0,6.123233995736766e-17,-0.9659258262890683,-0.25881904510252063,3.634951112088381,2.6239436918052106,36.9,0
119.99,34.2,1.0,1.0,1.0,5,4,18,119.99,0.28502375197933166,1.0,1.0,0,1,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,4.7957078975533864,3.5610460826040513,119.99,0
339.0,17.12,1.0,1.0,1.0,11,4,21,339.0,0.05050147492625369,1.0,1.0,0,0,1,-0.5000000000000004,0.8660254037844384,-0.7071067811865477,0.7071067811865474,5.8289456176102075,2.8970163006148333,339.0,1
69.9,25.77,1.0,1.0,1.0,8,4,17,69.9,0.3686695278969957,1.0,1.0,0,1,0,-0.8660254037844385,-0.5000000000000004,-0.9659258262890683,-0.25881904510252063,4.2612704335380815,3.2872818575322613,69.9,0
99.0,22.62,1.0,1.0,1.0,8,5,23,99.0,0.22848484848484849,1.0,1.0,1,0,0,-0.8660254037844385,-0.5000000000000004,-0.25881904510252157,0.9659258262890681,4.605170185988092,3.1620938107692163,99.0,0
14.49,7.87,1.0,1.0,1.0,6,0,16,14.49,0.5431331953071084,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,2.740194654428777,2.1826747963214883,14.49,0
139.0,14.72,1.0,1.0,1.0,5,3,13,139.0,0.10589928057553957,1.0,1.0,0,1,0,0.49999999999999994,-0.8660254037844387,-0.2588190451025208,-0.9659258262890683,4.941642422609304,2.7549337870010606,139.0,0
36.9,17.92,1.0,1.0,1.0,5,6,20,36.9,0.48563685636856374,1.0,1.0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,3.634951112088381,2.9402195636237325,36.9,0
69.9,12.43,1.0,1.0,1.0,5,3,16,69.9,0.17782546494992846,1.0,1.0,0,1,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004,4.2612704335380815,2.5974910105351463,69.9,0
33.9,18.34,1.0,1.0,1.0,7,6,11,33.9,0.5410029498525074,1.0,1.0,1,1,0,-0.4999999999999997,-0.8660254037844388,0.258819045102521,-0.9659258262890682,3.5524868292083815,2.9621754900251482,33.9,0
115.0,15.56,1.0,1.0,1.0,8,2,20,115.0,0.13530434782608697,1.0,1.0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,4.7535901911063645,2.8069901489571136,115.0,0
39.47,13.37,1.0,1.0,1.0,2,3,14,39.47,0.33873828223967567,1.0,1.0,0,1,0,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,3.7005609588877744,2.6651427000909336,39.47,0
53.44,18.47,1.0,1.0,1.0,6,1,13,53.44,0.3456212574850299,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,-0.2588190451025208,-0.9659258262890683,3.9970991777832654,2.968874819384108,53.44,0
120.0,31.04,2.0,1.0,1.0,7,3,14,60.0,0.25866666666666666,2.0,0.5,0,1,0,-0.4999999999999997,-0.8660254037844388,-0.4999999999999997,-0.8660254037844388,4.795790545596741,3.4669851222001586,240.0,0
369.0,17.33,1.0,1.0,1.0,12,4,0,369.0,0.04696476964769647,1.0,1.0,0,0,1,-2.4492935982947064e-16,1.0,0.0,1.0,5.91350300563827,2.9085390618516134,369.0,0
38.4,11.85,1.0,1.0,1.0,8,3,8,38.4,0.30859375,1.0,1.0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,3.673765816303888,2.553343811341229,38.4,0
119.9,8.78,1.0,1.0,1.0,6,0,10,119.9,0.0732276897414512,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,4.794963757620747,2.280339484046726,119.9,0
29.99,13.47,1.0,1.0,1.0,6,0,8,29.99,0.44914971657219077,1.0,1.0,0,0,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,3.433664571799657,2.6720775406433925,29.99,0
45.98,45.7,2.0,1.0,1.0,3,4,14,22.99,0.9939103958242715,2.0,0.5,0,1,0,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,3.849721979230767,3.8437441646748516,91.96,1
84.9,14.36,1.0,1.0,1.0,3,0,18,84.9,0.1691401648998822,1.0,1.0,0,1,0,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,4.45318382899021,2.731766727719526,84.9,1
